"text","CF","IC","skill"
"I hear you, and it must feel awful to be criticized in that way.","B","EAR","V"
"It sounds like you’re feeling really overwhelmed right now. That’s completely understandable given what you’re going through.","B","EAR","V"
"I can hear the pain in your voice when you talk about that experience. It must have been incredibly hard for you.","B","EAR","V"
"And yet, as you say, you do have these desires and you do have your feelings, but- but you don't feel good about them?","B","EAR","RL"
"Yeah, I get the disappointment - that here, a lot of these things you’d thought you'd worked through, and now the guilts and the feeling that only a part of you is acceptable to anybody else.","B","EAR","RL"
"I guess I do catch the real deep puzzlement that you feel as to What the hell shall I do? What can I do?","B","EAR","RL"
"Hearing about your experience made me feel a deep sense of empathy for what you’ve gone through. It’s incredibly impactful.","B","EAR","G"
"You have a great deal of patience and courage, I admire that.","B","EAR","A"
"As you talk about all of the troubles you've been through, do you know what strikes me? You are a real survivor. You've taken a lot of hard knocks, and you're still here.","B","EAR","A"
"Thank you for being willing to discuss our relationship. It is very helpful.","B","EAR","A"
"You intended not to drink at all this week, and you had five days with no alcohol at all. That's amazing! How did you do that?","B","EAR","A"
"You deeply love your children and want to do all you can to protect them.","B","EAR","A"
"I appreciate you being so open and forthright about what is going through your mind here.","B","EAR","A"
"I support your decision to set boundaries in that relationship. It sounds like it’s what you need for your well-being.","B","EAR","RA"
"This is just my opinion of course, and you might disagree, but from my perspective, it seems that you have a number of qualities that make you a good candidate for this treatment.","B","EAR","RA"
"I'll tell you what I heard there and you tell me if I got it or not, but it's kind of like, you've been so busy from the time you were a girl, being a role model, and having these abilities, that you had no resting place.","B","EAR","RA"
"You’ve got the strength and ability to handle this. What strategies have worked for you in the past?","B","EAR","RA"
"You’re safe here to express whatever you’re feeling. There’s no judgment, only support.","B","EAR",""
"I hear you, and I want to understand what you're experiencing.","B","EAR",""
"You know yourself better than anyone else. What do you think would be the most helpful next step?","B","CP","RA"
"We’ll move at a pace that feels comfortable for you. Let me know if you ever need to slow down or take a break.","B","CP","RA"
"How do you feel about the options we’ve discussed? Which one resonates most with you?","B","CP","RA"
"You have a lot of insight into your own life. What do you believe is the root of this issue?","B","CP","RA"
"I believe you have the skills to manage this situation. How would you like to approach it?","B","CP","RA"
"It’s your decision, and I’m here to support you in whatever you choose. What possibilities are you considering?","B","CP","RA"
"You are certainly the expert in knowing yourself, and we will need to draw on that expertise as we progress.","B","CP","RA"
"I realize I might not fully understand your experience right now, and I appreciate your patience as we work through this together.","B","CP","G"
"Although no course of treatment is foolproof, I do believe that we can work together to help you deal with your problems.","B","CP",""
"You are certainly the expert in knowing yourself, and we will need to draw on that expertise as we progress. And, as an expert in this treatment approach, I can help to guide you through the process of therapy. The important thing is that we collaborate throughout the experience. Does this make sense?","B","CP",""
"You have a say in your treatment, and we'll collaborate on the best path forward.","B","CP",""
"Our work together is a collaboration. Your insights and feedback are essential in tailoring our sessions to your needs.","B","CP",""
"Your therapy is about you. We'll customize our approach to align with your specific needs and aspirations.","B","CP",""
"I hope you feel comfortable sharing your true thoughts and feelings here. Your honesty is a vital part of our work together.","B","CP",""
"I know you’re feeling frustrated right now, and I’m here to support you. Let’s work together to find a way through this.","B","CP",""
"Let’s focus on what you want to achieve in therapy. What are your goals for our work together?","GA","","RA"
"It’s important that the direction we take aligns with what you want to accomplish. What are your priorities right now?","GA","","RA"
"Let's work together to define some realistic objectives for you.","GA","","RA"
"If at any point you feel the need to adjust our goals or priorities, please don't hesitate to let me know.","GA","","RA"
"Can you tell me more about what brings you to therapy and what changes you’re hoping to see in your life?","GA","","OQ"
"What would you like to achieve through our sessions together? What are the most important changes you want to make?","GA","","OQ"
"I want to make sure that the goals we set are ones that feel right for you. How do these goals align with what you’re hoping to achieve?","GA","","OQ"
"Let’s work together to identify some concrete steps you can take towards your goals. What are some small, manageable actions that you feel ready to start with?","GA","","OQ"
"By setting these goals, we’re creating a roadmap for your progress. How do you feel about these goals?","GA","","OQ"
"It sounds like you’ve been feeling very discouraged and overwhelmed. Can you help me understand more about what’s contributing to these feelings?","GA","","RL"
"It sounds like you’ve been feeling very discouraged and overwhelmed. Can you help me understand more about what’s contributing to these feelings?","GA","","OQ"
"Based on what we’ve discussed, it seems like reducing your anxiety and improving your self-confidence are key goals for you. How do you feel about focusing on these areas?","GA","","SS"
"Based on what we’ve discussed, it seems like reducing your anxiety and improving your self-confidence are key goals for you. How do you feel about focusing on these areas?","GA","","OQ"
"You mentioned wanting to improve your relationships and feel more motivated at work. Let’s talk about specific goals we can set to work towards these outcomes.","GA","","SS"
"That has been really useful to help me understand a little about what has led you to seek treatment; next it might be helpful for us to think together about what your hopes for the future might be.","GA","",""
"Ok, now that we have agreed upon the goals you want to work on, it would be helpful to get an idea of where you are right now with each of the goals. This will help us get an idea of where we are starting from, and what you have already managed to achieve, and it can help us keep track of how far you have moved on, at a later date.","GA","",""
"I can appreciate your desire to stay with your past. Can we think about that in terms of our treatment plan and goals? I am open to revising our focus if it makes sense to us in terms of what we are trying to accomplish—and it very well may.","GA","","V"
"You know yourself better than anyone else. What do you think would be the most helpful next step?","TA","","RA"
"We’ll move at a pace that feels comfortable for you. Let me know if you ever need to slow down or take a break.","TA","","RA"
"How do you feel about the options we’ve discussed? Which one resonates most with you?","TA","","RA"
"What do you think would be the best approach for you to take in this situation?","TA","","RA"
"I’ve been thinking about incorporating some elements of art therapy into our sessions. Would you be interested in that?","TA","","RA"
"In our sessions, my role is to guide and support you in exploring your thoughts and feelings, while your role is to actively engage in this process and share openly. Does that sound good to you?","TA","","RA"
"We’ll meet here weekly for 50-minute sessions. If you ever need to reschedule or have any concerns about the setting, please let me know. Does that work for you?","TA","","RA"
"You are certainly the expert in knowing yourself, and we will need to draw on that expertise as we progress. And, as an expert in this treatment approach, I can help to guide you through the process of therapy. The important thing is that we collaborate throughout the experience. Does this make sense?","TA","CP",""
"Our work together is a collaboration. Your insights and feedback are essential in tailoring our sessions to your needs.","TA","CP",""
"Today, I thought we could focus on the anxiety you’ve been experiencing at work. Does that align with what you want to work on today?","TA","CP",""
"We’ve been working on developing coping strategies for your stress. Do you feel that these strategies are aligning with your overall goal of feeling more in control?","TA","CP",""
"After you've told me about your challenges, I have some ideas about how we could best address them. I'll explain them to you and would like to understand if they align with what you had in mind when you decided to start therapy. If you have any questions or input, please let me know.","TA","CP",""
"Let’s work together to identify some concrete steps you can take towards your goals. What are some small, manageable actions that you feel ready to start with?","TA","","OQ"
"How are you feeling about the progress we’re making towards your goals? Are there any adjustments you think we need to make?","TA","","OQ"
"Our sessions will take place here in this office, which is a confidential and safe space for you to talk about anything you need to. Is there anything you need to feel more comfortable in this setting?","TA","","OQ"
"We will try to understand what stresses and relationships in your life may be contributing to depression.","TA","",""
"I want to make sure you understand that therapy is a collaborative process. We’ll work together to identify the issues you want to focus on and develop strategies to address them. Is that clear?","TA","",""
"I'd like to meet with you once a week for twelve to sixteen more times for about an hour each time, to try to understand with you the stresses in your life and how they relate to your depression.","TA","",""
"I’d like to try a mindfulness exercise that might help you manage your anxiety. Would you be open to giving it a try?","TA","","AP"
"I have a homework assignment that might help you practice the skills we’re working on. Would you be willing to try it this week?","TA","","AP"
